scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9999549,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999549,Textile Chemistry Scholarship,American Association of Textile Chemists and Colorists,"To support undergraduate and graduate students studying textile chemistry, polymer and color chemistry, or related topics.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",March
9990366,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990366,Claude B. Hart Memorial Scholarship,Winston-Salem Foundation,"To provide financial assistance to graduating high school seniors from Elkin High School in Elkin, NC who are pursuing mathematics or engineering in college.",Bachelor's Degree,Scholarship,N/A,March
9990719,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990719,University of Toronto Nortel Institute Undergraduate Scholarship,University of Toronto,"To provide educational support to undergraduate students in second or third year in the Faculty of Applied Science and Engineering, the Faculty of Arts and Science, University of Toronto Mississauga and University of Toronto Scarborough.",Bachelor's Degree,Scholarship,N/A,November
9993617,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993617,Accenture Native American Scholarship Fund,Native Forward Scholars Fund,To provide financial assistance and support to Native American students who are seeking the next level of education.,Bachelor's Degree,Scholarship,N/A,June
9997331,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997331,Herb and Ann Fincher Scholarship Fund,"Community Foundation of the Eastern Shore, Inc.",To support Maryland students who are about to pursue Mathematics or Engineering courses.,Bachelor's Degree  Graduate Degree  High School,Scholarship,"$1,500",April
9998502,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998502,The YASME Foundation Scholarship,ARRL The National Association for Amateur Radio,To provide financial support to students who have the license for post-secondary education.,Bachelor's Degree,Scholarship,"$3,000",January
9991982,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991982,Seabee Memorial Scholarship Association - Four Year Renewable,Seabee Memorial Scholarship Association,"To help children, step-children and/or grandchildren of any officer or enlisted member who serve or have served with the Naval Construction Force (Seabees) or the Navy Civil Engineer Corps (CEC) to pursue postsecondary education.",Bachelor's Degree,Scholarship,N/A,April
9994648,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994648,Edsel Newman Scholarships,Lexington Community Foundation,"To promote community philanthropy by working with individuals, families and organizations to develop tailored giving plans that effectively meet the charitable goals and financial circumstances.",Bachelor's Degree  Graduate Degree  High School,Scholarship,"$2,000",
9996692,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996692,Guillevin Indigenous Academic Excellence Scholarship,Electro-Federation Canada,To support Indigenous Canadian (First Nations) students pursuing careers in electrical fields.,Bachelor's Degree  Vocational,Scholarship,N/A,May
9998540,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998540,The North Fulton Amateur Radio League Scholarship,ARRL The National Association for Amateur Radio,To support licensed amateur radio operators pursuing postsecondary education in engineering or computer science.,Associate Degree  Bachelor's Degree  Graduate Degree  Vocational,Scholarship,"$2,000",
