scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9991553,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991553,Ford Motor Company Scholarship (Sophomore),Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,250",February
9991562,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991562,Virginia Counts – Betty Irish SWE for Life Endowed Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
9991555,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991555,ExxonMobil Foundation Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
9991556,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991556,Eaton STEM Scholar Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",February
9991564,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991564,Melanie Clampitt Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,000",March
9991573,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991573,Lois Aileen Bey Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",March
9991566,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991566,Charbonneau Family Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",February
9991623,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991623,SPE Foundation General Scholarships,Society of Plastics Engineers,To support students who have demonstrated or expressed an interest in the plastics industry.,Bachelor's Degree  Graduate Degree,Scholarship,N/A,April
9991626,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991626,Salvatore J. Monte Thermoplastic Materials & Foams Division,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree,Scholarship,"$2,500",April
9991625,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991625,Polymer Modifiers and Additives Division (PMAD) Scholarship (PMAD),Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",April
9991525,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991525,Liebherr Mining – Senior Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
9991533,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991533,Intel Undergraduate Diversity Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",February
9991583,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991583,Amateur Radio Digital Communications Scholarship - Sophomore to,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$7,500",February
9991577,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991577,Anne Maureen Whitney Barrow Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$9,000",March
